User ID,Age,Gender,Height,Interests,Looking For,Children,Education Level,Occupation,Swiping History,Frequency of Usage
1,30,Male,5.240384818,"['Sports', 'Cooking', 'Hiking', 'Music', 'Movies', 'Reading', 'Travel']",Casual Dating,No,High School,Student,96,Weekly
2,27,Female,4.93762519,"['Sports', 'Reading']",Friendship,Yes,Master's Degree,Artist,96,Monthly
3,29,Female,5.806295845,['Sports'],Casual Dating,No,Bachelor's Degree,Social Media Influencer,64,Daily
4,29,Female,5.101402346,['Reading'],Marriage,No,Ph.D.,Doctor,67,Daily
5,32,Male,5.986670328,"['Sports', 'Hiking', 'Music', 'Movies', 'Reading']",Long-term Relationship,Yes,Ph.D.,Engineer,93,Monthly
6,25,Female,5.192045044,"['Sports', 'Cooking', 'Movies', 'Music', 'Travel', 'Reading', 'Hiking']",Marriage,Yes,Master's Degree,Engineer,38,Monthly
7,27,Female,5.725125741,"['Travel', 'Cooking']",Marriage,No,Master's Degree,Student,77,Monthly
8,21,Male,5.108276074,"['Cooking', 'Hiking', 'Movies', 'Reading', 'Music', 'Travel']",Marriage,Yes,Bachelor's Degree,Teacher,87,Daily
9,33,Female,5.364951099,"['Music', 'Reading', 'Sports', 'Cooking', 'Movies']",Friendship,Maybe,High School,Social Media Influencer,6,Monthly
10,26,Female,6.020815285,"['Sports', 'Reading', 'Music', 'Cooking', 'Movies', 'Hiking']",Long-term Relationship,No,Ph.D.,Teacher,8,Weekly
11,27,Female,4.9327425,"['Cooking', 'Reading', 'Music']",Friendship,Maybe,Master's Degree,Teacher,19,Weekly
12,20,Female,5.752873347,"['Cooking', 'Sports']",Friendship,Yes,Ph.D.,Business Owner,19,Monthly
13,33,Female,5.56313585,"['Music', 'Cooking', 'Sports']",Casual Dating,Yes,Bachelor's Degree,Teacher,12,Weekly
14,25,Female,5.402888703,"['Travel', 'Movies']",Friendship,Yes,High School,Entrepreneur,80,Monthly
15,20,Male,5.51137095,['Hiking'],Friendship,No,Bachelor's Degree,Student,81,Monthly
16,30,Female,5.866473532,['Cooking'],Marriage,Maybe,Bachelor's Degree,Artist,97,Monthly
17,27,Male,6.011520446,"['Cooking', 'Music', 'Hiking']",Friendship,Yes,Bachelor's Degree,Engineer,12,Weekly
18,29,Male,5.627683848,"['Movies', 'Sports', 'Travel', 'Music', 'Cooking']",Marriage,No,Master's Degree,Doctor,4,Daily
19,31,Male,5.171047595,"['Sports', 'Movies']",Long-term Relationship,Yes,Master's Degree,Business Owner,32,Daily
20,24,Female,5.206369247,"['Sports', 'Cooking', 'Hiking']",Friendship,Yes,Ph.D.,Entrepreneur,13,Daily
21,31,Male,5.329140529,['Cooking'],Friendship,Maybe,Bachelor's Degree,Engineer,5,Weekly
22,27,Female,5.430026156,"['Travel', 'Reading', 'Hiking', 'Cooking', 'Sports']",Casual Dating,Maybe,Master's Degree,Doctor,61,Weekly
23,22,Male,5.390113466,"['Travel', 'Hiking', 'Reading']",Friendship,No,Bachelor's Degree,Artist,55,Daily
24,31,Female,5.30866811,"['Music', 'Travel']",Casual Dating,Yes,Bachelor's Degree,Social Media Influencer,98,Daily
25,24,Female,6.02821958,"['Music', 'Travel', 'Cooking', 'Hiking', 'Movies', 'Reading', 'Sports']",Casual Dating,No,Master's Degree,Entrepreneur,72,Monthly
26,29,Female,5.647510205,"['Sports', 'Reading', 'Hiking']",Friendship,Maybe,High School,Business Owner,98,Monthly
27,32,Male,5.364351809,"['Reading', 'Cooking']",Casual Dating,Maybe,Master's Degree,Engineer,37,Monthly
28,20,Female,5.754320099,"['Reading', 'Sports', 'Hiking', 'Travel', 'Movies', 'Music', 'Cooking']",Marriage,Maybe,High School,Doctor,52,Daily
29,19,Female,5.732664878,"['Cooking', 'Sports', 'Reading']",Long-term Relationship,Yes,Ph.D.,Artist,14,Weekly
30,32,Male,6.088162166,"['Music', 'Movies', 'Travel']",Casual Dating,Yes,Bachelor's Degree,Entrepreneur,23,Monthly
31,18,Female,5.335882855,"['Sports', 'Movies', 'Travel', 'Cooking', 'Reading']",Long-term Relationship,Maybe,Ph.D.,Artist,29,Weekly
32,30,Male,4.906158034,"['Cooking', 'Travel', 'Reading']",Casual Dating,Yes,Ph.D.,Student,28,Weekly
33,20,Female,5.720755639,"['Sports', 'Movies', 'Cooking', 'Travel', 'Hiking', 'Music', 'Reading']",Friendship,No,Master's Degree,Teacher,74,Monthly
34,21,Male,5.09809242,"['Music', 'Cooking']",Casual Dating,Yes,Ph.D.,Entrepreneur,81,Weekly
35,25,Male,5.671438559,"['Reading', 'Sports']",Long-term Relationship,No,Ph.D.,Student,31,Weekly
36,19,Male,5.40866063,"['Movies', 'Cooking', 'Hiking', 'Reading', 'Sports', 'Travel', 'Music']",Friendship,No,Ph.D.,Business Owner,83,Daily
37,24,Male,4.915416268,"['Sports', 'Music', 'Reading', 'Hiking', 'Travel', 'Cooking', 'Movies']",Casual Dating,Yes,Master's Degree,Teacher,8,Monthly
38,26,Female,5.965380153,"['Sports', 'Movies', 'Music']",Long-term Relationship,No,Bachelor's Degree,Entrepreneur,85,Weekly
39,24,Female,5.678084813,"['Sports', 'Music', 'Reading', 'Hiking']",Casual Dating,Yes,Ph.D.,Entrepreneur,52,Weekly
40,19,Male,5.920743402,"['Movies', 'Music']",Friendship,Maybe,High School,Social Media Influencer,12,Daily
41,24,Female,5.238880598,"['Hiking', 'Music', 'Reading', 'Movies', 'Travel']",Casual Dating,Yes,Bachelor's Degree,Social Media Influencer,88,Monthly
42,35,Male,5.900425428,"['Music', 'Movies', 'Reading']",Marriage,Yes,Bachelor's Degree,Artist,62,Monthly
43,31,Female,5.227422033,"['Sports', 'Reading', 'Movies', 'Hiking', 'Travel', 'Music', 'Cooking']",Friendship,Yes,High School,Artist,13,Weekly
44,34,Male,5.959061346,"['Hiking', 'Movies', 'Cooking', 'Reading', 'Sports', 'Travel']",Marriage,No,Master's Degree,Doctor,2,Daily
45,23,Male,6.000881661,"['Sports', 'Movies', 'Hiking', 'Travel', 'Reading', 'Music', 'Cooking']",Friendship,Yes,High School,Engineer,43,Weekly
46,20,Female,5.652509216,"['Music', 'Movies', 'Travel']",Long-term Relationship,No,Bachelor's Degree,Teacher,9,Daily
47,33,Female,5.338095725,"['Sports', 'Hiking', 'Music']",Marriage,Maybe,High School,Student,92,Daily
48,30,Male,5.280272161,"['Movies', 'Hiking', 'Music', 'Sports', 'Reading', 'Cooking']",Casual Dating,No,High School,Artist,49,Weekly
49,30,Male,5.397185415,"['Sports', 'Music', 'Movies', 'Cooking']",Casual Dating,No,High School,Student,82,Daily
50,26,Female,5.955798432,"['Music', 'Cooking', 'Reading', 'Travel', 'Hiking', 'Sports', 'Movies']",Long-term Relationship,Yes,Bachelor's Degree,Doctor,83,Weekly
51,33,Male,5.370472005,"['Reading', 'Hiking', 'Music', 'Cooking']",Long-term Relationship,Yes,Bachelor's Degree,Entrepreneur,79,Monthly
52,35,Male,5.59623282,"['Travel', 'Movies']",Long-term Relationship,No,High School,Doctor,26,Monthly
53,18,Male,6.08974376,"['Reading', 'Music']",Friendship,Maybe,Ph.D.,Teacher,66,Monthly
54,27,Male,5.639233161,"['Hiking', 'Travel']",Long-term Relationship,No,Master's Degree,Engineer,25,Monthly
55,28,Female,4.93352122,"['Music', 'Travel', 'Sports', 'Movies', 'Cooking', 'Reading']",Marriage,Yes,High School,Artist,96,Daily
56,18,Female,5.211941482,['Travel'],Casual Dating,Maybe,Master's Degree,Doctor,88,Daily
57,28,Female,5.332273465,"['Cooking', 'Movies']",Friendship,No,High School,Entrepreneur,26,Daily
